PTHR10005_AN200,PTHR10005_AN201,PTHR10005_AN266,HUMAN|HGNC=21326|UniProtKB=P84550,HUMAN,4
PTHR10005_AN200,PTHR10005_AN278,PTHR10005_AN329,HUMAN|HGNC=32695|UniProtKB=Q2VWA4,HUMAN,4
PTHR10005_AN6,PTHR10005_AN79,PTHR10005_AN142,HUMAN|HGNC=10896|UniProtKB=P12755,HUMAN,4
PTHR10005_AN6,PTHR10005_AN7,PTHR10005_AN59,HUMAN|HGNC=10897|UniProtKB=P12757,HUMAN,4
PTHR10010_AN233,PTHR10010_AN234,PTHR10010_AN280,HUMAN|HGNC=11019|UniProtKB=Q06495,HUMAN,4
PTHR10010_AN233,PTHR10010_AN296,PTHR10010_AN362,HUMAN|HGNC=20305|UniProtKB=Q8N130,HUMAN,4
PTHR10010_AN233,PTHR10010_AN296,PTHR10010_AN413,HUMAN|HGNC=11020|UniProtKB=O95436,HUMAN,4
PTHR10015_AN1002,PTHR10015_AN1003,PTHR10015_AN1057,HUMAN|HGNC=5224|UniProtKB=Q00613,HUMAN,4
PTHR10015_AN1002,PTHR10015_AN1072,PTHR10015_AN1126,HUMAN|HGNC=5227|UniProtKB=Q9ULV5,HUMAN,4
PTHR10024_AN1114,PTHR10024_AN1115,PTHR10024_AN1197,HUMAN|HGNC=15585|UniProtKB=Q9HCH5,HUMAN,1
PTHR10024_AN1114,PTHR10024_AN1217,PTHR10024_AN1268,HUMAN|HGNC=15584|UniProtKB=Q8IYJ3,HUMAN,2
PTHR10024_AN1114,PTHR10024_AN1275,PTHR10024_AN1325,HUMAN|HGNC=15589|UniProtKB=Q8TDW5,HUMAN,2
PTHR10024_AN1114,PTHR10024_AN1343,PTHR10024_AN1393,HUMAN|HGNC=15587|UniProtKB=Q4VX76,HUMAN,1
PTHR10024_AN1114,PTHR10024_AN1411,PTHR10024_AN1465,HUMAN|HGNC=15588|UniProtKB=Q96C24,HUMAN,2
PTHR10024_AN1619,PTHR10024_AN1620,PTHR10024_AN1670,HUMAN|HGNC=19266|UniProtKB=Q6XYQ8,HUMAN,4
PTHR10024_AN1619,PTHR10024_AN1686,PTHR10024_AN1732,HUMAN|HGNC=24119|UniProtKB=Q9BSW7,HUMAN,4
PTHR10024_AN1619,PTHR10024_AN1750,PTHR10024_AN1805,HUMAN|HGNC=18638|UniProtKB=Q5T7P8,HUMAN,4
PTHR10024_AN1840,PTHR10024_AN1848,PTHR10024_AN1896,HUMAN|HGNC=11511|UniProtKB=Q9BQG1,HUMAN,4
PTHR10024_AN1972,PTHR10024_AN1973,PTHR10024_AN2023,HUMAN|HGNC=11512|UniProtKB=Q9H2B2,HUMAN,4
PTHR10024_AN1972,PTHR10024_AN2043,PTHR10024_AN2083,HUMAN|HGNC=14962|UniProtKB=Q7L8C5,HUMAN,4
PTHR10024_AN1972,PTHR10024_AN2103,PTHR10024_AN2156,HUMAN|HGNC=19239|UniProtKB=Q9BT88,HUMAN,4
PTHR10024_AN2216,PTHR10024_AN2217,PTHR10024_AN2265,HUMAN|HGNC=37210|UniProtKB=B7Z1M9,HUMAN,4
PTHR10024_AN2216,PTHR10024_AN2217,PTHR10024_AN2299,HUMAN|HGNC=29417|UniProtKB=Q8TF44,HUMAN,4
PTHR10024_AN2216,PTHR10024_AN2317,PTHR10024_AN2375,HUMAN|HGNC=33628|UniProtKB=A6NLJ0,HUMAN,4
PTHR10024_AN459,PTHR10024_AN502,PTHR10024_AN571,HUMAN|HGNC=2985|UniProtKB=Q14183,HUMAN,3
PTHR10024_AN459,PTHR10024_AN637,PTHR10024_AN697,HUMAN|HGNC=17056|UniProtKB=Q9Y2J0,HUMAN,3
PTHR10024_AN738,PTHR10024_AN739,PTHR10024_AN787,HUMAN|HGNC=19859|UniProtKB=Q8N9U0,HUMAN,4
PTHR10024_AN738,PTHR10024_AN808,PTHR10024_AN842,HUMAN|HGNC=10296|UniProtKB=Q9UNE2,HUMAN,4
PTHR10024_AN869,PTHR10024_AN870,PTHR10024_AN919,HUMAN|HGNC=23142|UniProtKB=Q17RD7,HUMAN,4
PTHR10024_AN869,PTHR10024_AN936,PTHR10024_AN1004,HUMAN|HGNC=23143|UniProtKB=Q8NB59,HUMAN,4
PTHR10025_AN230,PTHR10025_AN231,PTHR10025_AN279,HUMAN|HGNC=31865|UniProtKB=Q9H903,HUMAN,4
PTHR10025_AN230,PTHR10025_AN299,PTHR10025_AN365,HUMAN|HGNC=7434|UniProtKB=P13995,HUMAN,4
PTHR10025_AN416,PTHR10025_AN417,PTHR10025_AN467,HUMAN|HGNC=21055|UniProtKB=Q6UB35,HUMAN,4
PTHR10025_AN416,PTHR10025_AN487,PTHR10025_AN548,HUMAN|HGNC=7432|UniProtKB=P11586,HUMAN,4
PTHR10026_AN99,PTHR10026_AN100,PTHR10026_AN164,HUMAN|HGNC=1600|UniProtKB=O60583,HUMAN,4
PTHR10026_AN99,PTHR10026_AN184,PTHR10026_AN236,HUMAN|HGNC=1599|UniProtKB=O60563,HUMAN,4
PTHR10027_AN234,PTHR10027_AN235,PTHR10027_AN289,HUMAN|HGNC=6284|UniProtKB=Q12791,HUMAN,4
PTHR10027_AN234,PTHR10027_AN301,PTHR10027_AN353,HUMAN|HGNC=18867|UniProtKB=A8MYU2,HUMAN,4
PTHR10027_AN33,PTHR10027_AN111,PTHR10027_AN171,HUMAN|HGNC=18865|UniProtKB=Q5JUK3,HUMAN,4
PTHR10027_AN33,PTHR10027_AN34,PTHR10027_AN86,HUMAN|HGNC=18866|UniProtKB=Q6UVM3,HUMAN,4
PTHR10030_AN51,PTHR10030_AN120,PTHR10030_AN182,HUMAN|HGNC=4006|UniProtKB=P04066,HUMAN,4
PTHR10030_AN51,PTHR10030_AN52,PTHR10030_AN102,HUMAN|HGNC=4008|UniProtKB=Q9BTY2,HUMAN,4
PTHR10031_AN185,PTHR10031_AN186,PTHR10031_AN242,HUMAN|HGNC=843|UniProtKB=P48201,HUMAN,3
PTHR10031_AN185,PTHR10031_AN268,PTHR10031_AN320,HUMAN|HGNC=842|UniProtKB=Q06055,HUMAN,3
PTHR10031_AN185,PTHR10031_AN332,PTHR10031_AN403,HUMAN|HGNC=841|UniProtKB=P05496,HUMAN,3
PTHR10032_AN1092,PTHR10032_AN1093,PTHR10032_AN1146,HUMAN|HGNC=8525|UniProtKB=O14753,HUMAN,4
PTHR10032_AN1092,PTHR10032_AN1093,PTHR10032_AN1198,HUMAN|HGNC=26061|UniProtKB=Q6IQ21,HUMAN,4
PTHR10032_AN1092,PTHR10032_AN1093,PTHR10032_AN1243,HUMAN|HGNC=15804|UniProtKB=Q9BRP0,HUMAN,4
PTHR10032_AN1092,PTHR10032_AN1266,PTHR10032_AN1316,HUMAN|HGNC=29009|UniProtKB=Q6AHZ1,HUMAN,4
PTHR10032_AN1092,PTHR10032_AN1266,PTHR10032_AN1374,HUMAN|HGNC=29365|UniProtKB=Q9C0D4,HUMAN,4
PTHR10032_AN1092,PTHR10032_AN1395,PTHR10032_AN1439,HUMAN|HGNC=14186|UniProtKB=O00110,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN162,HUMAN|HGNC=13068|UniProtKB=Q96GC6,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN244,HUMAN|HGNC=31834|UniProtKB=Q96N77,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN283,HUMAN|HGNC=21036|UniProtKB=Q9NWS9,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN359,HUMAN|HGNC=12963|UniProtKB=Q15697,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN395,HUMAN|HGNC=12994|UniProtKB=O95125,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN552,HUMAN|HGNC=12969|UniProtKB=P17022,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN592,HUMAN|HGNC=8826|UniProtKB=Q9GZU2,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN634,HUMAN|HGNC=23713|UniProtKB=Q96IT1,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN675,HUMAN|HGNC=25677|UniProtKB=Q63HK3,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN720,HUMAN|HGNC=26673|UniProtKB=Q8IWY8,HUMAN,4
PTHR10032_AN48,PTHR10032_AN119,PTHR10032_AN772,HUMAN|HGNC=9966|UniProtKB=Q13127,HUMAN,4
PTHR10032_AN48,PTHR10032_AN49,PTHR10032_AN100,HUMAN|HGNC=12915|UniProtKB=P52739,HUMAN,4
PTHR10032_AN889,PTHR10032_AN890,PTHR10032_AN940,HUMAN|HGNC=9045|UniProtKB=Q6DJT9,HUMAN,4
PTHR10032_AN889,PTHR10032_AN956,PTHR10032_AN1007,HUMAN|HGNC=9047|UniProtKB=Q9UPG8,HUMAN,4
PTHR10032_AN889,PTHR10032_AN956,PTHR10032_AN1062,HUMAN|HGNC=9046|UniProtKB=Q9UM63,HUMAN,4
PTHR10033_AN83,PTHR10033_AN158,PTHR10033_AN220,HUMAN|HGNC=1513|UniProtKB=O14958,HUMAN,4
